	en	fr	es
metadata_img_key_ResolutionUnit_1	No absolute unit of measurement. Used for images that may have a non-square aspect ratio, but no meaningful absolute dimensions	Pas d'unité de mesure absolue. Utilisé pour les images qui peuvent avoir un rapport d'aspect non carré, mais pas de dimensions absolues significatives	No hay unidad de medida absoluta. Se utiliza para imágenes que pueden tener una relación de aspecto no cuadrada, pero sin dimensiones absolutas significativas.
metadata_img_key_ResolutionUnit_2	Measurement unit is inch	Unité de mesure en pouces	Unidad de medida en pulgadas
metadata_img_key_ResolutionUnit_3	Measurement unit is centimeter	Unité de mesure en centimètres	La unidad de medida es de un centímetro
metadata_img_error_exif	No EXIF Metadata was found.<br><strong>Note:</strong> The EXIF standard applies only to .jpg and .tiff images	Aucune métadonnée EXIF n'a été trouvée.<br><strong>Note:</strong> Le Format EXIF s'applique uniquement aux images .jpg et .tiff	No se encontraron metadatos EXIF.<br><strong>Note:</strong> El estándar EXIF se aplica sólo a imágenes.jpg y.tiff
api_error_removed_video	This video has been previously processed by the CAA service but it is no longer available on the video platform. All metadata associated with that video have been deleted.	Cette vidéo a été précédemment traitée par le service CAA mais elle n'est maintenant plus accessible via la plateforme vidéo. Toutes les meta données de cette vidéo ont été effacées.	Este vídeo ha sido procesado previamente por el servicio CAA pero ya no está disponible en la plataforma de vídeo. Se han eliminado todos los metadatos asociados a ese vídeo.
api_error_no_video	The metadata associated with this video could not be extracted probably because there is no such video or because we are facing restrictions from the platform.	Les métadonnées associées à cette vidéo n'ont pas pu être extraites probablement parce que la vidéo n'existe pas ou parce que la plateforme en a restreint l'accès.	Los metadatos asociados a este vídeo no se pudieron extraer porque el vídeo no existe o bien porque no se puede procesar por alguna limitación impuesta por la plataforma.
api_error_no_video_id	A video ID cannot be extracted by the submitted URL. Please check the URL.	Un identifiant vidéo ne peut pas être extrait de l'URL donnée. Veuillez vérifier cette URL.	Un ID de vídeo no se puede extraer mediante la URL enviada. Por favor, compruebe la URL.
api_error_empty_url	The submitted URL parameter is empty. Please provide a valid video URL.	L'URL donnée en paramètre est vide. Veuillez utilisez une URL valide.	El parámetro URL enviado está vacío. Por favor, proporcione una URL de vídeo válida.
api_error_facebook_group	The provided Video is posted by a Facebook Group. Due to Facebook API restrictions no information can be retrieved for videos posted by Facebook Groups.	La vidéo fournie vient d'un Groupe Facebook. En raison des restrictions de l'API Facebook aucune information ne peut être récupérée pour les vidéos postées par les Groupes Facebook.	El vídeo proporcionado es publicado por un grupo de Facebook. Debido a las restricciones de la API de Facebook, no se puede recuperar información para los vídeos publicados por los grupos de Facebook.
api_error_facebook_photo	The provided URL is not supported. It is a photo URL.	L'URL fournie n'est pas prise en charge. C'est une URL de photo.	La URL proporcionada no es compatible. Es la URL de una foto.
api_error_default	There was an error while trying to process this video. Please check the link and try again	Une erreur est survenue lors du traitement des la vidéo. Veuillez verifier le lien et réessayer.	Se ha producido un error al intentar procesar este vídeo. Por favor, compruebe el enlace e inténtelo de nuevo
table_error_removed_video	This video has been previously processed by the CAA service but it is no longer available on the video platform. All metadata associated with that video have been deleted	Cette vidéo a été précédemment traitée par le service CAA mais elle n'est maintenant plus accessible via la plateforme vidéo. Toutes les meta données de cette vidéo ont été effacées	Este vídeo ha sido procesado previamente por el servicio CAA pero ya no está disponible en la plataforma de vídeo. Se han eliminado todos los metadatos asociados a ese vídeo.
table_error_no_video	The metadata associated with this video could not be extracted. The video is either posted by Facebook User or a Group, and due to Facebook API limitations it  cannot be processed, or it might no longer be available on Facebook	Les métadonnées associées à cette vidéo n'ont pas pu être extraites. La vidéo est publiée par l'utilisateur ou le groupe Facebook et, en raison des limitations de l'API Facebook, elle ne peut pas être traitée ou peut ne plus être disponible sur la plateforme vidéo	Los metadatos asociados a este vídeo no se pudieron extraer. El vídeo está publicado por un usuario de Facebook o un grupo y, debido a las limitaciones de la API de Facebook, no se puede procesar o puede que ya no esté disponible en Facebook.
table_error_no_video_id	A video ID cannot be extracted by the submitted URL. Please check the URL	Un identifiant vidéo ne peut pas être extrait de l'URL donnée. Veuillez vérifier cette URL	Un ID de vídeo no se puede extraer mediante la URL enviada. Por favor, compruebe la URL
table_error_empty_url	The submitted URL parameter is empty. Please provide a valid video URL	L'URL donnée en paramètre est vide. Veuillez utilisez une URL valide	El parámetro URL enviado está vacío. Por favor, proporcione una URL de vídeo válida
table_error_facebook_group	The provided Video is posted by a Facebook Group. Due to Facebook API restrictions no information can be retrieved for videos posted by Facebook Groups	La vidéo fournie vient d'un Groupe Facebook. En raison des restrictions de l'API Facebook, aucune information ne peut être récupérée pour les vidéos postées par les Groupes Facebook	El vídeo proporcionado es publicado por un grupo de Facebook. Debido a las restricciones de la API de Facebook, no se puede recuperar información para los vídeos publicados por los grupos de Facebook.
table_error_facebook_photo	The provided URL is not supported. It is a photo URL	L'URL fournie n'est pas prise en charge. C'est une URL de photo	La URL proporcionada no es compatible. Es una URL de la foto
table_error_default	There was an error while trying to process this video. Please check the link and try again	Une erreur est survenue lors du traitement des la vidéo. Veuillez verifier le lien et réessayer	Se ha producido un error al intentar procesar este vídeo. Por favor, compruebe el enlace e inténtelo de nuevo
keyframes_title	Video fragmentation and reverse image search	Fragmentation vidéo et recherche inversée d'image	Fragmentación del video y búsqueda inversa de imagen
keyframes_tip	With the contextual menu (right click) you can query multiple reverse image search engines or use the magnifier and forensic tools on each keyframe.	Avec le menu contextuel (clic droit) vous pouvez utiliser plusieurs moteurs de recherches d'images ou utiliser la loupe ou l'outil forensic sur chaque image clé.	Con el menú contextual (clic derecho), puede Ud. utilizar varios motores de busqueda inversa de imagen o utilizar la lupa o la herramienta de forensic sobre cada imagen clave
keyframes_input	Insert the video URL	Adresse de la vidéo	Enlace del video
keyframes_content_title	Video keyframes	Images clés de la vidéo	Imágenes claves del video
keyframes_content_acco	Show more keyframes	Afficher plus d'images clés	Mostrar más imágenes claves
keyframes_download	Download images files (.zip)	Télécharger les images (.zip)	Descarga de ficheros (.zip)
keyframes_error_VIDEO_DOWNLOAD_FAILED	Video cache failed. Try with another video	La mise en cache de la vidéo à échoué. Veuillez essayer avec une autre vidéo	Falló el almacenamiento en caché del video. Inténtalo con otro vídeo
keyframes_error_VIDEO_DOWNLOAD_TIMEOUT	Video cache failed. The video cache has timed out	La mise en cache de la vidéo à échoué. La vidéo a mis trop de temps à charger	Falló el almacenamiento en caché del video. El tiempo de espera se ha agotado.
keyframes_error_VIDEO_SEGMENTATION_FAILED	Video segmentation analysis failed	L'analyse de segmentation vidéo à échoué	Fallo en el análisis de segmentación de vídeo
keyframes_error_PROCESS_INTERRUPTED	Video analysis interrupted due to unknown cause. Please re-submit the video	L'analyse de la vidéo à été interrompue dû à une cause inconnue. Veuillez ré-envoyer la vidéo	El análisis de vídeo se interrumpió debido a una causa desconocida. Por favor, vuelva a enviar el vídeo
keyframes_error_ANALYSIS_STOPPED_CORRUPTED_VIDEO_FILE	Video analysis quitted due to corrupted video file	L'analyse de la vidéo s'est arrêté dû à des fichiers vidéos corrompus	El análisis de vídeo se ha interrumpido debido a que el archivo de vídeo está dañado.
keyframes_error_ANALYSIS_STOPPED_UNSUPPORTED_FILE_EXTENSION	Video analysis quitted due to unsupported file extension	L'analyse de la vidéo s'est arrêté dû à un format vidéo non supporté	El análisis de vídeo se ha interrumpido debido a que la extensión del archivo no es compatible.
keyframes_error_unavailable	The service is currently unavailable. Try again later	Le service est actuellement indisponible. Veuillez réessayez plus tard	El servicio no está disponible en este momento. Inténtalo de nuevo más tarde
keyframes_error_default	Unknown error occured. Please try again later or with another video.	Une erreur inconnue s'est produite. Veuillez réessayer plus tard ou avec une autre vidéo.	Se ha producido un error desconocido. Por favor, inténtelo de nuevo más tarde o con otro vídeo.
keyframes_wait_VIDEO_WAITING_IN_QUEUE	Video in queue for analysis. The analysis of your video will start immediately after all preceding videos in the queue have been processed	Vidéo en file d'attente pour analyse. L'analyse de votre vidéo commencera immédiatement après que toutes les vidéos précédentes de la file d'attente auront été traitées	Vídeo en cola para análisis. El análisis de su vídeo se iniciará inmediatamente después de que se hayan procesado todos los vídeos anteriores de la cola.
keyframes_wait_VIDEO_DOWNLOAD_STARTED	The video is being cached before its analysis	La vidéo est en train d'être mise en cache avant analyse	El video se almacena en caché antes de su análisis
keyframes_wait_STARTED	Video analysis running. Step	Analyse de la vidéo en cours. Etape	Análisis de vídeo en marcha. Paso
youtube_title	YouTube thumbnails reverse search	Recherche inversée des imagettes YouTube	Búsqueda inversa de miniaturas YouTube
youtube_input	YouTube video URL	Adresse de la vidéo YouTube	Enlace del video YouTube
twitter_title	Twitter advanced search	Recherche avancée Twitter	Búsqueda avanzada Twitter
twitter_termbox	Keyword or #	Mot clé ou #	Palabra clave o #
twitter_tw-account	From (Twitter account name)	De (Nom de compte Twitter)	De (Nombre de una cuenta de Twitter)
twitter_filter	Filter (e.g. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Filtre (ex. safe, media, retweets, native_video, periscope, vine, images, twimg or links)	Filtro (ej. safe, media, retweets, native_video, periscope, vine, images, twimg or links)
twitter_lang	Language (e.g. en, fr, de, es, ru, ja, zh...)	Langue (ex: en, fr, de, es ru, ja, zh...)	Idioma (ej: en, fr, de, es ru, ja, zh...)
twitter_geocode	Geocode (e.g. -22.912214,-43.230182,1km or -22.912214,-43.230182,1mi)	Geocode (ex: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)	Geocodigo (ej: -22.912214,-43.230182,1km ou -22.912214,-43.230182,1mi)
twitter_near	Near (city name)	Proche de : (nom de ville)	Cerca de (nombre de ciudad)
twitter_within	Within (e.g. 15mi or 15km)	Dans (ex: 15mi ou 15km)	Dentro de (ej: 15mi o 15 km)
twitter_from-date	Since	Depuis	Desde
twitter_url-filter	URL	URL	URL
twitter_to-date	Until	Jusqu'à	Hasta
twitter_local_time	Local time	Heure locale	Hora local
twitter_gmt	GMT	GMT	GMT
magnifier_title	Image Magnifier	Inspecteur d'image	Amplificador de imagen
magnifier_urlbox	Image URL	Adresse de l'image	URL de la imagen
magnifier_accor	More filters	Plus de filtres	Más filtros
magnifier_radio_1	None	Aucun	Ninguno
magnifier_radio_2	Sharp	Contraste	Contraste
magnifier_radio_3	Flip	Miroir	Voltear
magnifier_radio_4	Bicubic	Bicubic	Bicubic
magnifier_radio_5	Crop	Rogner	Recortar
magnifier_scale	Scale	Taille	Dimensión
magnifier_switch	Lens zoom / Inner zoom	Loupe / Zoom	Lupa / zoom
magnifier_google	Google Image	Google Image	Google imágenes
magnifier_baidu	Baidu Image	Baidu Image	Baidu imágenes
magnifier_yandex	Yandex Image	Yandex Image	Yandex imágenes
magnifier_tineye	Tineye Image	Tineye Image	Tineye imágenes
magnifier_forensic	Forensic	Forensic	Forensic
copyright_title	Check Video Copyright Status	Vérifier le copyright de la vidéo	Verificar los derechos de autor del video
copyright_input	Paste a YouTube, Twitter of Facebook video URL	Copier l'url de la video YouTube, Twitter ou Facebook	Copiar el enlace de la video de YouTube, Twitter o Facebook
forensic_title	Image forensic analysis	Analyse forensic d'image	Análisis forensic de imagen
forensic_input	Insert the image URL	Insérez l'URL d'une image	Insertar el enlace de la URL
forensic_content_title	Forensic analysis	Analyse forensic	Análisis forensic
forensic_error_unsupported_file	The submitted URL is an unsupported image file, e.g. gif image or video	L'URL soumise est un fichier image non pris en charge, par exemple une image gif ou une vidéo	La URL enviada es un archivo de imagen no compatible, por ejemplo, una imagen gif o un vídeo.
forensic_error_image_url_error	The submitted URL is an image file but it could not be processed, it may be due to network problem or platform restrictions	L'URL soumise est un fichier image, mais il n'a pas pu être traité. Cela peut être dû à un problème de réseau ou à des restrictions d'utilisation	La URL enviada es un archivo de imagen pero no pudo ser procesada, puede deberse a un problema de red o a restricciones de uso.
forensic_error_url_error	The submitted URL could not be cached, it may be due to network problem, usage restrictions or a corrupted URL path	L'URL soumise n'a pas pu être traitée, cela peut être dû à un problème de réseau, à des restrictions d'utilisation ou à un chemin corrompu dans l'URL	La URL enviada no se ha podido descargar, puede deberse a un problema de red, a restricciones de descarga o a una ruta de URL dañada.
forensic_error_hash_not_found	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo
forensic_error_empty_parameter	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo
forensic_error_missing_image_report	The image was not submitted. Please check the URL and try again	L'image n'a pas été soumise. Veuillez vérifier l'URL et réessayer	La imagen no fue enviada. Por favor, compruebe la URL e inténtelo de nuevo
forensic_error_analysis_not_triggered	The analysis has not been triggered for this image. Please check the URL and try again	L'analyse n'a pas été déclenchée pour cette image. Veuillez vérifier l'URL et réessayer	El análisis no se ha activado para esta imagen. Por favor, compruebe la URL e inténtelo de nuevo
forensic_title_dqReport	Double Quantization	DQ	DQ
forensic_title_elaReport	Error Level Analysis	ELA	ELA
forensic_title_medianNoiseReport	Median Noise	MEDIAN NOISE	Ruido mediano
forensic_title_dctReport	DCT	DCT	DCT
forensic_title_gridsReport	CAGI	CAGI	CAGI
forensic_title_gridsInversedReport	CAGI-Inversed	CAGI-Inversé	CAGI-Invertido
forensic_title_dwNoiseReport	WAVELET	WAVELET	WAVELET
forensic_title_blockingReport	BLOCK	BLOCK	BLOCK
forensic_title_ghostReport	GHOST	GHOST	GHOST
forensic_card_info	Infos	Infos	Información
forensic_card_back	Back	Retour	Volver
forensic_card_dqReport	Double Quantization inconsistencies occur when a foreign object is inserted in a JPEG image. When the new image is saved, the untampered part of the image will have been compressed twice, while the inserted region only once. In this case, the tampered area should appear red while the rest of the image blue. If other colors are present (green, yellow) then no conclusion can be made. Also, the red region must be "object-like": spurious red dots scattered across the image should be ignored.	Les incohérences de quantification double se produisent lorsqu'un objet étranger est inséré dans une image JPEG. Lorsque la nouvelle image est enregistrée, la partie non altérée de l'image sera compressée deux fois, alors que la zone insérée ne l'aura été qu'une seule fois. Dans ce cas, la zone altérée doit apparaître en rouge alors que le reste de l'image est en bleu. Si d'autres couleurs sont présentes (vert, jaune), aucune conclusion ne peut être tirée. De plus, la région rouge doit être "semblable à un objet" : les points trompeurs rouges éparpillés sur l'image doivent être ignorés.	Las inconsistencias de doble cuantificación se producen cuando se inserta un objeto extraño en una imagen JPEG. Cuando se guarda la nueva imagen, la parte no alterada de la imagen se comprimirá dos veces, mientras que el área insertada sólo una vez. En este caso, la zona alterada debería aparecer de color rojo mientras que el resto de la imagen aparece de color azul. Si hay otros colores presentes (verde, amarillo) entonces no se puede llegar a ninguna conclusión. Además, la región roja debe ser "parecida a un objeto": los puntos rojos espurios dispersos por toda la imagen deben ser ignorados.
forensic_card_elaReport	Error Level Analysis is produced by recompressing the image as a JPEG of quality 75 and subtracting the new image from the old. The resulting image of differences is then enhanced and displayed. Areas of interest are those with higher values than other similar parts of the image. Only similar regions should be compared, i.e. edges should be compared to edges, textures to textures, and uniform regions to uniform regions. Color discrepancies (commonly blue regions) are also generally suspicious.	L'analyse du niveau d'erreur est produite en recompressant l'image en JPEG de qualité 75 et en soustrayant la nouvelle image de l'ancienne. L'image des différences qui en résulte est ensuite mise en valeur et affichée. Les zones d'intérêt sont celles qui ont des valeurs plus élevées que d'autres parties similaires de l'image. Seules les régions similaires doivent être comparées, c'est-à-dire que les bords doivent être comparés aux bords, les textures aux textures et les régions uniformes aux régions uniformes. Les écarts de couleur (généralement les régions bleues) sont aussi généralement suspects.	El análisis de nivel de error se produce al recomprimir la imagen como JPEG de calidad 75 y restar la nueva imagen de la antigua. La imagen resultante de las diferencias se mejora y se muestra. Las áreas de interés son aquellas con valores más altos que otras partes similares de la imagen. Sólo deben compararse regiones similares, es decir, los bordes deben compararse con los bordes, las texturas con las texturas y las regiones uniformes con las regiones uniformes. Las discrepancias de color (comúnmente regiones azules) también son generalmente sospechosas.
forensic_card_medianNoiseReport	Median Noise Residuals is based on isolating the almost-invisible image noise through median filtering. When interpreting the results, areas of interest are those that return higher (i.e. brighter) values than other similar parts of the image. Only similar regions should be compared, i.e. edges should be compared to edges, textures to textures, and uniform regions to uniform regions.	Median Noise Residuals est basé sur l'isolation du bruit de l'image presque invisible grâce à un filtrage médian. Lors de l'interprétation des résultats, les zones d'intérêt sont celles qui retournent des valeurs plus élevées (c'est-à-dire plus claires) que d'autres parties similaires de l'image. Seules les régions similaires doivent être comparées, c'est-à-dire que les bords doivent être comparés aux bords, les textures aux textures et les régions uniformes aux régions uniformes.	Median Noise Residuals se basa en el aislamiento del ruido de imagen casi invisible a través del filtrado de la mediana. Al interpretar los resultados, las áreas de interés son aquellas que devuelven valores más altos (es decir, más brillantes) que otras partes similares de la imagen. Sólo deben compararse regiones similares, es decir, los bordes deben compararse con los bordes, las texturas con las texturas y las regiones uniformes con las regiones uniformes.
forensic_card_dctReport	The Discrete Cosine Transform is an integral part of JPEG compression and leaves distinct traces on the image. When tampering takes place in a JPEG image, the DCT coefficients may be locally disturbed. Regions that stand out (yellow or red) against a blue background may correspond to tampering. The reverse may also hint towards a tampering, i.e. certain regions appearing bluer against a bright background.	La transformation de cosinus discrète fait partie intégrante de la compression JPEG et laisse des traces distinctes sur l'image. Lorsque l'altération a lieu dans une image JPEG, les coefficients DCT peuvent être perturbés localement. Les régions qui se distinguent (jaune ou rouge) sur un fond bleu peuvent correspondre à une altération. L'inverse peut également indiquer une altération, c'est-à-dire que certaines régions apparaissent plus bleues sur un fond clair.	La transformación de coseno discreta es una parte integral de la compresión JPEG y deja huellas claras en la imagen. Cuando se produce una manipulación en una imagen JPEG, los coeficientes DCT pueden verse perturbados localmente. Las regiones que sobresalen (amarillas o rojas) sobre un fondo azul pueden corresponder a la manipulación. El reverso también puede sugerir una manipulación, es decir, ciertas regiones que aparecen más azules sobre un fondo brillante.
forensic_card_gridsReport	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The GRIDS algorithm seeks such discrepancies, and highlights them locally. The algorithm produces local red/orange “blobs” where it detects grid discrepancies. Generally, the GRIDS algorithm is less distracted by textures in the image, and focuses on grid disturbances. However, it should mostly be interpreted in combination with other outputs that highlight the same regions.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme GRIDS recherche de telles divergences et les met en évidence localement. L'algorithme produit des "blobs" rouges/orange locaux où il détecte les divergences de grille. En général, l'algorithme GRIDS est moins distrait par les textures de l'image et se concentre sur les perturbations de la grille. Toutefois, elle doit être interprétée principalement en combinaison avec d'autres filtres qui mettent en évidence les mêmes régions.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo GRIDS busca tales discrepancias y las resalta localmente. El algoritmo produce "manchas" locales de color rojo/naranja en las que detecta las discrepancias de la red. Generalmente, el algoritmo GRIDS está menos distraído por las texturas de la imagen y se centra en las perturbaciones de la rejilla. Sin embargo, debe interpretarse en su mayor parte en combinación con otros filtros que destacan las mismas regiones.
forensic_card_gridsInversedReport	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The GRIDS-Inverse algorithm is complementary to GRIDS in seeking such discrepancies. The algorithm produces local blue “blobs” where it detects grid discrepancies. Generally, the GRIDS algorithm is less distracted by textures in the image, and focuses on grid disturbances. However, it should mostly be interpreted in combination with other algorithm outputs that highlight the same regions.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme GRIDS-Inverse est complémentaire de GRIDS dans la recherche de telles divergences. L'algorithme produit des "blobs" bleus locaux où il détecte les divergences de grille. En général, l'algorithme GRIDS est moins distrait par les textures de l'image et se concentre sur les perturbations de la grille. Cependant, elle doit être interprétée le plus souvent en combinaison avec d'autres sorties d'algorithmes qui mettent en évidence les mêmes régions.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo GRIDS-Inverse es complementario a GRIDS en la búsqueda de tales discrepancias. El algoritmo produce "manchas" azules locales donde detecta las discrepancias de la red. Generalmente, el algoritmo GRIDS está menos distraído por las texturas de la imagen y se centra en las perturbaciones de la rejilla. Sin embargo, debe ser interpretado en su mayor parte en combinación con otras salidas de algoritmo que resalten las mismas regiones.
forensic_card_dwNoiseReport	Each image carries invisible, high-frequency noise that is the result of the capturing process as well as the compression. The Discrete Wavelet Noise algorithm filters the image and calculates the local noise distribution at each part of the image. Regions that differ from the rest of the image are highlighted in strong red, and are likely to originate from other images. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	Chaque image est porteuse d'un bruit invisible à haute fréquence qui est le résultat du processus de capture ainsi que de la compression. L'algorithme de bruit d'ondelettes discrètes filtre l'image et calcule la distribution locale du bruit à chaque partie de l'image. Les régions qui diffèrent du reste de l'image sont surlignées en rouge vif et sont susceptibles de provenir d'autres images. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	Cada imagen lleva un ruido invisible de alta frecuencia que es el resultado del proceso de captura así como de la compresión. El algoritmo Discrete Wavelet Noise filtra la imagen y calcula la distribución local del ruido en cada parte de la imagen. Las regiones que difieren del resto de la imagen se resaltan en rojo intenso y es probable que se originen en otras imágenes. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.
forensic_card_blockingReport	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The BLOCK algorithm detects the image grid and looks for local discrepancies. Any coherent region with different color to its surroundings may correspond to tampering, although reds and yellows against a blue background are the most typical indication of tampering. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme BLOCK détecte la grille d'image et recherche les divergences locales. Toute région cohérente avec une couleur différente de celle de son environnement peut correspondre à une altération, bien que les rouges et les jaunes sur fond bleu soient l'indication la plus typique d'une altération. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo BLOCK detecta la cuadrícula de la imagen y busca discrepancias locales. Cualquier región coherente con un color diferente al de su entorno puede corresponder a la manipulación, aunque los rojos y amarillos sobre un fondo azul son la indicación más típica de manipulación. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.
forensic_card_ghostReport	The JPEG Ghosts algorithm is based on recompressing the image in multiple different qualities and subtracting each of them from the original. The resulting difference images are post-processed to highlight regions that stand out and are likely to originate from a different JPEG image. Then, the images most likely to contain interesting findings are selected (i.e. those that feature localized inconsistencies). Consistent yellow regions against a blue background may correspond to traces of tampering, especially if they do not correspond to edges, but to entire regions.	L'algorithme JPEG Ghosts est basé sur la recompression de l'image en plusieurs qualités différentes et la soustraction de chacune d'elles de l'original. Les images résultantes de cette différence sont post-traitées pour mettre en évidence les régions qui se distinguent et sont susceptibles de provenir d'une image JPEG différente. Ensuite, les images les plus susceptibles de contenir des résultats intéressants sont sélectionnées (c'est-à-dire celles qui présentent des incohérences localisées). Des zones jaunes constantes sur fond bleu peuvent correspondre à des traces d'altération, surtout si elles ne correspondent pas à des bords, mais à des zones entières.	El algoritmo JPEG Ghosts se basa en recomprimir la imagen en múltiples calidades diferentes y restar cada una de ellas del original. Las imágenes de las diferencias resultantes se procesan posteriormente para resaltar las regiones que destacan y que probablemente se originen a partir de una imagen JPEG diferente. Luego, se seleccionan las imágenes que tienen más probabilidades de contener hallazgos interesantes (es decir, aquellas que presentan inconsistencias localizadas). Las regiones amarillas consistentes sobre un fondo azul pueden corresponder a rastros de manipulación, especialmente si no corresponden a bordes, sino a regiones enteras.
survey_loading	Loading...	Chargement en cours...	Cargando...
about_title	InVID-WeVerify toolkit	Outils InVID-WeVerify	Herramientas InVID-WeVerify
about_lang	Choose language:	Choisissez la langue:	Elegir idioma:
footer_analysis	Provided by <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_keyframes	Provided by <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_thumbnails	Provided by <a href="https://www.afp.com/en/medialab">AFP Medialab</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.afp.com/fr/lagence/medialab">Medialab de l'AFP</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_twitter	Provided by <a href="https://www.afp.com/en/medialab">AFP Medialab</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.afp.com/fr/lagence/medialab">Medialab de l'AFP</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_magnifier	Provided by <a href="https://www.afp.com/en/medialab">AFP Medialab</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.afp.com/fr/lagence/medialab">Medialab de l'AFP</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_metadata	Provided by <a href="https://www.afp.com/en/medialab">AFP Medialab</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.afp.com/fr/lagence/medialab">Medialab de l'AFP</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por el <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
footer_rights	Provided by the GRIHO Research Group © 2018 Universitat de Lleida<br>Contact: <a href="mailto:invid@udl.cat">invid@udl.cat</a>	Fourni par le groupe de recherche GRIHO © 2018 Universitat de Lleida<br>Contact: <a href="mailto:invid@udl.cat">invid@udl.cat</a>	Proporcionado por el Grupo de Investigación GRIHO © 2018 Universitat de Lleida<br>Contactar: <a href="mailto:invid@udl.cat">invid@udl.cat</a>
footer_forensic	Provided by the <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por el <a href="https://www.certh.gr/root.en.aspx">ITI CERTH</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de comentarios.
